timestamp,elapsed_sec,frame_idx,heart_rate
2025-06-05T17:00:27.414844,5.06,129,80
2025-06-05T17:00:30.521834,10.01,192,82
2025-06-05T17:00:35.570134,15.06,312,75
2025-06-05T17:00:40.691615,20.0,425,74
2025-06-05T17:00:45.652142,25.04,540,79
2025-06-05T17:00:50.741463,30.01,654,76
2025-06-05T17:00:55.997270,35.04,741,73
2025-06-05T17:01:00.546851,40.1,823,82
2025-06-05T17:01:05.347995,45.03,914,81
2025-06-05T17:01:10.513362,50.01,1008,79
2025-06-05T17:01:15.608142,55.02,1124,76
2025-06-05T17:01:21.053802,60.02,1241,79
