timestamp,frame_idx,elapsed_sec,pupil_x,pupil_y,pupil_radius,heart_rate
2025-06-05T17:22:11.559067,0,0.75,336.5,279.0,30.12,75.38
2025-06-05T17:22:11.608263,1,0.8,336.5,279.0,29.76,75.4
2025-06-05T17:22:11.633996,2,0.83,336.83,279.0,29.96,75.41
2025-06-05T17:22:11.641996,3,0.83,336.5,279.0,30.08,75.42
2025-06-05T17:22:11.650160,4,0.84,336.5,279.33,30.08,75.42
2025-06-05T17:22:11.754613,5,0.95,337.5,279.33,30.06,75.47
2025-06-05T17:22:11.763376,6,0.96,337.17,279.33,30.16,75.48
2025-06-05T17:22:11.771375,7,0.96,337.33,279.5,30.09,75.48
2025-06-05T17:22:11.779526,8,0.97,337.5,279.33,30.06,75.48
2025-06-05T17:22:11.879629,9,1.07,334.33,279.17,30.17,75.53
2025-06-05T17:22:11.888627,10,1.08,333.83,278.33,30.33,75.54
2025-06-05T17:22:11.897602,11,1.09,333.83,278.33,30.33,75.54
2025-06-05T17:22:11.905607,12,1.1,333.83,278.33,30.33,75.55
2025-06-05T17:22:12.021528,13,1.21,332.17,279.0,30.22,75.61
2025-06-05T17:22:12.036621,14,1.23,332.5,278.83,29.77,75.61
2025-06-05T17:22:12.048645,15,1.24,332.5,278.83,29.77,75.62
2025-06-05T17:22:12.063958,16,1.26,332.5,278.83,29.77,75.63
2025-06-05T17:22:12.151694,17,1.34,331.17,279.17,29.82,75.67
2025-06-05T17:22:12.162246,18,1.35,331.33,279.17,29.76,75.68
2025-06-05T17:22:12.170795,19,1.36,331.33,279.17,29.76,75.68
2025-06-05T17:22:12.180821,20,1.37,331.33,279.17,29.76,75.68
2025-06-05T17:22:12.288875,21,1.48,332.0,281.17,29.92,75.74
2025-06-05T17:22:12.306864,22,1.5,331.67,281.0,30.07,75.75
2025-06-05T17:22:12.326271,23,1.52,331.67,281.0,30.07,75.76
2025-06-05T17:22:12.343167,24,1.54,331.67,281.0,30.07,75.76
2025-06-05T17:22:12.407455,25,1.6,331.33,282.17,30.46,75.8
2025-06-05T17:22:12.417447,26,1.61,331.33,282.17,30.46,75.8
2025-06-05T17:22:12.428454,27,1.62,331.33,282.0,30.49,75.81
2025-06-05T17:22:12.436517,28,1.63,331.33,282.0,30.49,75.81
2025-06-05T17:22:12.565051,29,1.76,332.33,282.33,30.43,75.87
2025-06-05T17:22:12.584043,30,1.78,332.17,282.0,30.55,75.88
2025-06-05T17:22:12.599042,31,1.79,332.33,282.33,30.43,75.89
